,Name,City,Country,IATA,Latitude,Longitude,Altitude,Type
36,Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL,-29.6894,-57.1521,230.0,airport
37,Monte Caseros Airport,Monte Caseros,Argentina,MCS,-30.2719,-57.6402,170.0,airport
38,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,-27.3858,-55.9707,430.0,airport
39,Termal Airport,Presidencia R.s.pena,Argentina,PRQ,-26.753611,-60.492222,308.0,airport
40,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,-24.8560009003,-65.4861984253,4088.0,airport
41,Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ,-24.392799,-65.097801,3019.0,airport
42,Orán Airport,Oran,Argentina,ORA,-23.1527996063,-64.3292007446,1171.0,airport
43,Laboulaye Airport,La Quiaca,Argentina,\N,-34.1353988647,-63.36230087279999,449.0,airport
44,El Dorado Airport,El Dorado,Argentina,ELO,-26.3974990845,-54.5746994019,685.0,airport
45,Goya Airport,Goya,Argentina,OYA,-29.1058,-59.2189,128.0,airport
46,Oberá Airport,Obera,Argentina,\N,-27.5181999207,-55.1241989136,1125.0,airport
47,Reconquista Airport,Reconquista,Argentina,RCQ,-29.2103,-59.68,160.0,airport
48,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,UZU,-29.7706,-57.9789,229.0,airport
49,El Bolson Airport,El Bolson,Argentina,EHL,-41.9431991577,-71.5323028564,1141.0,airport
50,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,-45.7853,-67.4655,189.0,airport
51,Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS,-42.908000946,-71.139503479,2621.0,airport
52,Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,-43.2105,-65.2703,141.0,airport
53,Gobernador Castello Airport,Viedma,Argentina,VDM,-40.8692,-63.0004,20.0,airport
54,El Tehuelche Airport,Puerto Madryn,Argentina,PMY,-42.7592,-65.1027,427.0,airport
